Gene1	Gene2	Weight
MRPL49	STAU1	0
ATF3	KAT14	0
MAD2L2	LRRC8A	0
CRNKL1	SUZ12	0
SNRPD2	WDR61	0
KMT2A	BOP1	0
MRPL39	ZNF326	0
PLXNA1	RPP30	0
LRPPRC	STAU1	0
EEA1	CEP164	0
DHX30	WDR12	0
TOP2A	VIM	0
IPO4	RPS4Y1	0
HDAC1	DTL	0
CCP110	TCF7L2	0
POLR1E	FBXW8	0
PIGU	HIP1R	0
BMI1	CDC27	0
FHL2	MNAT1	0
ZCRB1	MRPL16	0
FBXW11	POLD1	0
P4HB	POLE	0
PTPN2	PDCD2	0
HAUS8	KAT2A	0
VPS50	MPRIP	0
MRPL55	WDR26	0
PRPF4B	RPL11	0
RFC1	SUZ12	0
HOOK1	BLOC1S2	0
GLE1	VPS26A	0
MRPL35	GAR1	0
CCNT1	IFT80	0
HDAC6	PCNT	0
DDX28	NOP10	0
UBA52	LRRC8A	0
RPL30	TAF1C	0
UPF1	STK3	0
BOP1	RSL24D1	0
MED8	MGAT5	0
RPS27A	LENG8	0
MRPL42	RPS19	0
CADM1	NDUFB1	0
CCT4	SAP30	0
RPS8	NUP42	0
MAD2L2	TTC8	0
GPAA1	DDR1	0
IRS1	MAP3K7	0
MRPL13	RPS26	0
ADGRL3	VAMP3	0
HDAC3	TUBGCP3	0
AQR	ZRSR2	0
VPS8	REEP5	0
HSPA8	PAPOLA	0
SRPK1	SENP3	0
VAMP3	BSG	0
HIPK2	PML	0
RPS14	RBM17	0
DYNC2H1	PKD2	0
RPS6	PPP1R13B	0
KAT7	PRKCI	0
NCAPD3	GEMIN4	0
CLNS1A	TOP2A	0
DMTN	AFDN	0
RFC1	HNRNPC	0
DERL2	COX16	0
RPL37A	ZCRB1	0
CTCF	CHTOP	0
HIF1A	BIRC2	0
ITGA7	REEP5	0
INO80E	DHX8	0
LRRC8E	PIK3R4	0
SEL1L	MRPL40	0
INTS7	ECSIT	0
RPS3A	MRPL41	0
XAB2	TCP1	0
POLD3	AURKB	0
BUD13	PKD2	0
IPO4	INTS5	0
MRPL24	FASTKD5	0
UBE2J1	PRAME	0
SF3A2	WDR61	0
POLR2J	URI1	0
U2SURP	CASC3	0
MALT1	BBS7	0
RPL6	PES1	0
RCOR1	TCP1	0
ZNF326	IGF2BP1	0
CDK6	CHTF18	0
MRPL20	DDX28	0
EXOC5	MTOR	0
MRPL42	RPL10A	0
RPS3A	KPNA1	0
TTC37	MRPL17	0
TNIP1	AP3M1	0
CHAF1A	TSC2	0
RIN1	STUB1	0
GID8	PIGK	0
RPS6	FBXW11	0
ACTB	NDUFB5	0
CHAF1B	CHD4	0
HAUS3	CENPO	0
MYBBP1A	WRAP53	0
STAU1	CENPT	0
TLE1	TCP1	0
MRPL28	CRNKL1	0
APOA1	C1QC	0
ANAPC7	NCAPG2	0
RUVBL2	RPS10	0
FBXW11	MTA1	0
DYNC1H1	DYNLT3	0
RFC1	RPS9	0
SMARCA1	KAT7	0
CNOT6L	HAUS5	0
DOCK7	HAUS2	0
RPL19	MRPL21	0
DMTN	HDAC7	0
TSC2	FGB	0
YY1	UBAC1	0
NCAPH2	NRP1	0
RPS28	GLE1	0
SERPINA1	CP	0
CCT7	HCFC1	0
YY1	GCA	0
CNOT2	PRIM1	0
TRA2B	ILF3	0
BBS2	TAF1B	0
SNX6	PLCG1	0
PARN	YBX3	0
TERF2	BUD13	0
MAP3K5	YAP1	0
NUP155	RPL7A	0
DDX20	FIG4	0
MCU	PLXNA1	0
DGKZ	IQGAP1	0
MTA3	INTS12	0
CENPH	RAD51	0
DYNC2LI1	CXXC1	0
L1CAM	STX1A	0
SNRPA	SNUPN	0
TJP1	FNTB	0
EHMT2	TRAPPC5	0
RPL13	NDUFAB1	0
SMC2	TTC37	0
TAF10	HIRA	0
RPS3	U2AF2	0
CHD3	ARID4A	0
APPL1	HAUS6	0
HDAC3	POLE	0
SIGMAR1	INTS3	0
GEMIN5	FARP2	0
TJP1	EEF1A1	0
INTS6	CDCA8	0
CDC40	RPL6	0
AMFR	INTS5	0
SH3KBP1	MRPL16	0
SRSF6	MRPL44	0
KPNB1	RPL37A	0
BAZ1B	KAT2A	0
CAMK2D	CNOT9	0
RPS16	DAXX	0
XAB2	GIT1	0
INSR	OS9	0
MGAT4B	TRAPPC2	0
RPS17	HAUS2	0
MRPL3	PRKAA1	0
WDHD1	RPL17	0
SRPK1	MRPL35	0
HDAC1	KANSL1	0
IKBKG	XAB2	0
MRPL30	RPS13	0
DYNC1LI1	DYNC2I2	0
KCNQ5	RCOR3	0
SFPQ	WBP11	0
LRPPRC	SMAD1	0
CXCR4	GLMN	0
MMP2	REL	0
HAX1	INTS5	0
RAP1A	PIN1	0
PKD2	KAT7	0
TTC37	RPLP1	0
EIF3J	PSME2	0
PPP6R3	MRPL40	0
TUBA1A	PSEN1	0
CPSF7	SNX1	0
CCP110	CNOT3	0
ARRB2	PPM1G	0
HPS6	MED4	0
TMEM67	INTS5	0
CCT4	ISY1	0
KPNA1	DHX38	0
MCC	CACYBP	0
PAXIP1	HAUS1	0
MRPL28	RPSA	0
TRAPPC10	LIN7A	0
ITGB5	GLG1	0
RARS1	XPO1	0
MED27	RBM25	0
RIPK1	N4BP2	0
RPP40	DHX16	0
MT-ATP8	ACTB	0
SERPINA3	HPR	0
PIK3C2A	YWHAE	0
BAZ1B	IGF2BP1	0
RPL35A	CENPC	0
MRPL3	RPS6	0
SZT2	ARNT	0
MDM2	ASH2L	0
RPS3	MRPL50	0
PTCD3	MRPL40	0
MED29	DYNLRB1	0
NSMCE4A	TOP2A	0
ITGA2	ACE	0
WDHD1	EEF1A1	0
CCT7	SUDS3	0
IGF2BP3	MRPL18	0
RBBP4	BAP18	0
SRSF6	ACTR5	0
GRSF1	CHD3	0
PAWR	IMMT	0
SETDB1	MPHOSPH8	0
RPL18A	ITGB3BP	0
TNIP1	ARRB2	0
CREB1	HSF1	0
EHMT2	NASP	0
DBF4	CDCA8	0
AMFR	CNOT9	0
PLXNA1	FLT4	0
BAG5	STUB1	0
FBXW7	HTRA2	0
HNRNPM	BUD13	0
TUBB	CCT2	0
RPL15	FNTB	0
CTNNBL1	RPS19	0
CNOT1	WASHC2A	0
BOP1	RPS10	0
IRF2BP1	ACTR5	0
RNPC3	DKC1	0
STAG2	NUP160	0
KAT7	MED15	0
GEMIN5	MBIP	0
CCND1	SMC4	0
INTS4	FANCA	0
TUBB	HSPA2	0
CCT6A	TUBGCP3	0
DROSHA	BUD13	0
WASHC5	VPS51	0
MAP3K5	RELA	0
FKBP8	DDX20	0
MRPL27	CDYL	0
MBD3	NBN	0
CPSF4	RTN4	0
VANGL2	BIRC2	0
MRPL40	POP1	0
HDAC3	MAP2K2	0
CLP1	RPP30	0
KAT14	KDM6A	0
RELA	TBL1XR1	0
MT-CO3	DERL1	0
PIK3C2A	IMP4	0
CHD4	POLR1G	0
TBL1X	KAT5	0
FKBP8	POLD1	0
DOCK7	UVRAG	0
RIN1	HSPA1B	0
MRPL36	KAT2A	0
RPS26	SIRT1	0
ARNT	POLA2	0
PRIM2	MKNK1	0
BLM	TAF1B	0
VPS16	TRAPPC5	0
LRRC8A	CDC6	0
MAD2L2	AP3M1	0
FASTKD2	SMC1A	0
KLHL3	MOV10	0
RPS27A	TCF7L2	0
ZCRB1	GLE1	0
EPHA1	PIGS	0
MRPL43	RPL7A	0
GTF2H1	POLR1G	0
MRPL9	PRKAA1	0
TNIP1	RPL23	0
GCN1	VPS51	0
IRF2BP1	VIRMA	0
INTS7	MGAT2	0
DOCK7	TRIM32	0
HAUS7	STUB1	0
SAP30	TOP2A	0
HAUS3	TAF4	0
PPP2CA	INTS1	0
IKBKG	BAZ1A	0
FGFR4	IGF1R	0
CHAF1A	ABL1	0
ATRIP	MED4	0
TTC37	AUP1	0
MRPL51	MBIP	0
VASP	SF3A3	0
MRPL45	SF3A1	0
FAM8A1	DYNC2LI1	0
CDK6	WASHC4	0
FANCA	INTS8	0
RFC5	VPS33A	0
NELFB	CACYBP	0
RPL26	CTBP1	0
MRPL42	RPL18	0
SENP3	C1QBP	0
BTRC	IL12RB1	0
SNX6	CCNB2	0
HTRA2	NDUFB5	0
KCNE3	PLCB3	0
DSCC1	CDK6	0
TCP1	DISC1	0
RNF123	DCP1A	0
AP3B1	MRPL55	0
ARHGEF2	RBCK1	0
HDAC2	MPRIP	0
MAP3K7	AFDN	0
NEDD4	INTS5	0
IQGAP2	CEP164	0
MRPL20	DHX30	0
VPS50	JUN	0
RANBP9	MRPL40	0
CDYL	MRPL10	0
XRN1	PRKCI	0
HIPK2	NCAPG2	0
PDCD2	HSPA2	0
AIMP1	VPS26A	0
SENP3	RPL19	0
WDR77	PRPF31	0
PIK3C2B	GIT1	0
MRPL49	CPSF4	0
PSEN1	ATP5F1B	0
LAS1L	GIT1	0
SENP3	SF3B2	0
FIS1	SURF1	0
TRAPPC9	TUBB	0
ACTR8	ARHGEF1	0
GID8	MT-ND1	0
SAV1	PCNT	0
ECSIT	SPAG9	0
PTCD3	IMP4	0
COX4I1	TNFRSF10B	0
CCP110	KAT7	0
PAK1	KIF5B	0
NCAPD3	COG8	0
STAU1	CENPO	0
FANCA	PSEN1	0
PIGS	NDUFA9	0
PRKDC	MAD2L2	0
RBCK1	RPAP1	0
HDAC3	FLNA	0
STAU1	DAXX	0
RNF123	WDR26	0
RPL37	MRPL20	0
MAD2L2	BSCL2	0
MRPL51	SSRP1	0
CHUK	TRAPPC5	0
CCP110	STAG2	0
ARRB2	USP12	0
XRN2	CECR2	0
GOLGA2	SPC24	0
NUF2	RAD51C	0
SMC2	RELB	0
MPRIP	ULBP3	0
ELOC	POLR2A	0
TIMP1	IGF2	0
BMI1	LENG8	0
PCNT	NDUFS7	0
MTOR	ATP2A1	0
CNOT2	BRCA2	0
SAE1	RAD21	0
MICU2	ZNF281	0
MRPL19	MTIF2	0
MRPL28	HMG20A	0
TTC37	NCAPD3	0
CNOT2	GPS1	0
SNAPIN	BRAF	0
AQR	RPL8	0
POP1	ESS2	0
MDM2	FGA	0
LSM5	SNRNP200	0
RHOA	PALS2	0
WDR77	RPSA	0
RELA	FKBP15	0
VPS50	PRPF6	0
CNOT11	VAMP3	0
MED14	INO80E	0
COG1	FASTKD5	0
ITGA7	NDUFA10	0
MNAT1	CDKN1A	0
PLD1	SIRT1	0
CAMK2D	MNAT1	0
RFC4	KSR1	0
WDR77	SF3A3	0
TUBA1A	HOOK2	0
STRADA	FBXW8	0
TAB2	MBIP	0
AP5B1	NBN	0
SAV1	DKC1	0
CTBP2	RBM25	0
NCAPG2	STAG2	0
LRRC8E	XPO1	0
HDAC4	RREB1	0
RFC5	MAP3K5	0
RPL19	NUP42	0
FASTKD5	MRPL46	0
SNRPB2	IMP3	0
KAT14	MTA2	0
CBX8	FASTKD2	0
NDUFS2	GLG1	0
H2AZ1	BUD13	0
C1QBP	UBE2J1	0
NUDCD3	TRIM33	0
GOLGA2	PIK3C2A	0
ACIN1	SUPT6H	0
NCOR1	POLR2J	0
RPL17	RPP38	0
HPS3	VPS51	0
COG1	SELENBP1	0
LMO7	BCAS2	0
ATR	MT-ND5	0
SMDT1	NDUFC2	0
PTCD3	MRPL18	0
HAUS1	ERCC1	0
RPL19	PUF60	0
MAD2L2	SGCB	0
VPS18	TUBGCP3	0
EGFR	CD47	0
RPS27A	DICER1	0
LRP1	TNKS	0
H3-3B	SF3B2	0
RPL30	TAF1B	0
SAV1	TRIM28	0
THOC7	MRPL10	0
MRPL52	CENPQ	0
HSPB8	VIM	0
RPS2	VIM	0
POLR1E	MAP2K1	0
CNOT6L	WDR48	0
FHL2	BRMS1	0
SYF2	TAF5	0
MORF4L1	ESS2	0
MRPL14	RPL3	0
MRPL24	RNF123	0
GPAA1	DNM1L	0
LIN54	TAF7	0
CACTIN	WDR26	0
DCAF1	RPL19	0
BOP1	RPL29	0
CDK12	TAF7	0
PRAME	CHTF18	0
RELB	INTS3	0
SSRP1	DKC1	0
CTCF	MRPL19	0
AP2M1	SIN3A	0
SF3A3	REL	0
CCT4	DDB1	0
SGCA	AGPAT2	0
GCA	RPS8	0
EPB41L3	NBN	0
VPS28	NCAPD3	0
HAUS1	SPC24	0
ATL2	INTS3	0
EPC1	INO80B	0
SF3B2	EXOSC2	0
CSE1L	SYVN1	0
RPL31	RUVBL2	0
TRAPPC9	MRE11	0
AP3S1	KCNJ11	0
MRPL28	RPS8	0
PAK1	PPP1R12A	0
DYNC2I1	MPHOSPH10	0
IK	TAF1A	0
MT-ND1	FASTKD5	0
MRPL24	CTCF	0
POLD1	VPS41	0
RPS24	H2AZ1	0
MRPL39	RANBP9	0
DNAJC8	RPSA	0
RPL6	FBXW8	0
XAB2	LENG8	0
PTGES3	BRCA2	0
MICU2	PSEN1	0
TRIM27	CPSF4	0
TRAPPC10	GRIP1	0
RANBP9	MRPL52	0
TUBB	HAUS8	0
TUBGCP2	TAF1	0
NDUFS3	VAMP3	0
GID8	NDUFS7	0
MT-CO1	IARS1	0
EXOC5	STAG2	0
CREB1	PPME1	0
COG7	CNOT11	0
NPHP4	CENPU	0
CWC22	PIK3C3	0
HOOK3	FNTA	0
USP46	MPP7	0
SF3B2	NOP10	0
CACTIN	PDZD11	0
RPL17	MRPL19	0
CAPZB	CNOT6L	0
RPS10	PDCD2	0
CDC27	CCNB2	0
LIN9	CHD3	0
CCND1	HAUS6	0
SEPTIN7	MRPL49	0
MRPL48	RPL17	0
TRIM33	DDX23	0
FAM8A1	FARP2	0
TOMM40	INTS3	0
HIP1R	INTS5	0
PIGT	BSCL2	0
NCL	DKC1	0
ZFYVE27	COG8	0
AJUBA	DHX16	0
YBX1	EZR	0
MCM8	MKS1	0
TTC37	CHUK	0
INTS8	ERCC1	0
FGB	HPR	0
RPS27A	CDYL	0
FGB	JUN	0
RBBP8	RAD21	0
DROSHA	RPL3	0
OS9	SIN3A	0
RPS28	BLM	0
RPS13	RBM39	0
HNRNPU	MOV10	0
MRPL2	MT-ND5	0
PRPF6	NUF2	0
BBS1	PARN	0
FAU	GLE1	0
GLMN	INTS3	0
MICU1	CTNNA1	0
CDYL	MBD3	0
MTOR	LRRC8D	0
DCP1A	PIK3R4	0
TTC37	INTS1	0
PKD2	FGFR4	0
KMT2D	PCNT	0
DKC1	DDX20	0
NCL	MRPL16	0
TRAPPC2	LSM2	0
PKD2	NRP1	0
MRPL41	RPL30	0
MRPL42	RBM17	0
RPGR	LMNA	0
KAT5	MCM2	0
MRPL11	RPL37A	0
NDUFS8	TBL1Y	0
TCP1	SPOP	0
RPL17	MRPL28	0
ANAPC7	PIGU	0
AUP1	GLG1	0
MRPL55	DICER1	0
RBCK1	TNFRSF10B	0
HRAS	VPS26A	0
RPS5	FARP2	0
RPL13A	PRPF4B	0
PHC2	CDK12	0
STAG2	INTS1	0
ARHGEF2	MOV10	0
TAF11	PRPF4B	0
BAZ1B	CENPQ	0
FASTKD2	MRPL38	0
CHD8	SNAPC2	0
RPS5	CENPO	0
INSR	ITGB4	0
MARS1	HOOK2	0
SNRNP48	SNRNP200	0
YBX3	RPP14	0
RUNX1	PRAME	0
MBD3	TAF7	0
CAMK2D	SPEN	0
CBX4	ARHGEF2	0
CCT2	ARHGAP17	0
EPHA1	BSCL2	0
KIF5B	MRPL51	0
SRSF5	SETD1A	0
GLE1	SRSF3	0
RPS15	IMP3	0
MRPL28	HDAC1	0
EIF4ENIF1	HIRA	0
LATS1	URI1	0
CHUK	RICTOR	0
RNPC3	BRD4	0
GLIS2	CTBP2	0
TUBB	PRKAA1	0
RPS20	MRPL40	0
RPL3	CLNS1A	0
NCAPD3	TTC8	0
IFT57	HSF1	0
HOOK3	CHTF18	0
RPS19	FBXW11	0
RFX5	TCF7L2	0
PARD3	RAP1A	0
DAD1	MT-ATP8	0
MRPL9	DHX8	0
EP300	CCT7	0
POLR1B	RAD50	0
TBL1XR1	NDUFA7	0
XRN1	TOP1	0
PCNT	ZNF281	0
INO80E	TAF4	0
TUBA1A	MDM2	0
CCT4	TCF7L2	0
SNRPA1	MECP2	0
MPRIP	GRIP1	0
CNOT6	DISC1	0
MED4	POLR2K	0
TMEM67	PIGU	0
MTA2	SUPT6H	0
COG7	N4BP2	0
MRPL18	NPM1	0
GEMIN5	ACTR8	0
VPS33A	RPAP1	0
SH3KBP1	MRPL38	0
POP1	RPL27	0
PPP2CA	GCA	0
MRPL19	RPL7A	0
RPL23	KAT14	0
TAF11	SRRM1	0
U2SURP	BRD4	0
PIGT	STAT3	0
CHEK2	ARHGEF2	0
CTNNBIP1	PPME1	0
CAPZA1	CNOT2	0
TUBB	FKBP8	0
CDC16	RICTOR	0
E2F5	ATP5F1C	0
PSMC3	KAT14	0
DKC1	ACTR5	0
SORBS1	DDX6	0
FKBP8	FAF2	0
RAD51	BMI1	0
MAPK3	GPX1	0
RPS19	XAB2	0
KMT2A	RPS4X	0
PELP1	MRPL46	0
FASTKD2	ORC1	0
SCRIB	EPB41L3	0
HMG20B	ERCC1	0
PRIM2	BBS9	0
MRPL11	RBM39	0
GLG1	ITGA4	0
MICU2	COA1	0
PRIM2	RFX5	0
NDUFAF1	MRPL42	0
MAP2K2	FKBP15	0
PIGK	SMC3	0
GEMIN4	DSCC1	0
BRIP1	TRIM32	0
CNOT7	TAF1	0
SETDB1	ERAP1	0
H2AX	ILF2	0
TAF9	YBX1	0
NDUFS6	COX4I1	0
SMC2	SKIV2L	0
TAF11	ATP5F1C	0
MRPL20	RB1CC1	0
HPS6	TUBGCP3	0
SART1	TRAPPC4	0
CNOT6	TRIM33	0
XIAP	FBXW8	0
RPN2	PDCD2	0
MED29	NOS1AP	0
APP	NRP2	0
CCNA2	HSPA8	0
RFC4	KAT14	0
KAT7	CNOT11	0
VIRMA	UPF1	0
SRSF1	RPLP1	0
TRAPPC10	WASF2	0
ITGA6	ATP2A1	0
RPS2	MRPL49	0
SMC1A	LACTB	0
POLR1E	CECR2	0
PRIM1	CEP290	0
RFC1	RPP40	0
MRPL44	CSE1L	0
DYNC2I2	CHTF18	0
TFDP1	HAUS7	0
KAT14	PPP1R13B	0
SF3B5	DDX20	0
MOCS2	PRKCI	0
COG1	MCRS1	0
ARRB2	MTOR	0
SETD1A	MRPL9	0
SH3KBP1	FASTKD2	0
FYN	CPSF7	0
TRRAP	INO80	0
MAP3K5	CBL	0
TAF9	TOP2A	0
HAUS1	TSC2	0
BLOC1S5	CEP290	0
NFRKB	POT1	0
CPSF7	PPP1R12A	0
TADA3	MPRIP	0
PIN1	POLR2D	0
LIN7C	POLD2	0
MAPK3	RPL7A	0
GID8	MRPL35	0
SELENBP1	TUBGCP2	0
NCAPD3	VPS51	0
MGAT4B	INTS2	0
TAB1	TNFRSF10B	0
KPNB1	INTS3	0
MED4	ANK3	0
MRPL40	CENPU	0
RPS18	DCAF1	0
RPL17	MRPL4	0
EPB41L3	AP3M1	0
H1-1	CDK6	0
RPL37A	SRSF3	0
STAM2	RICTOR	0
F3	INTS8	0
GEMIN5	TXNL4A	0
XIAP	RFC5	0
PUF60	CASC3	0
PAK1	USP7	0
AURKA	PLD1	0
PPP1R12A	POLD2	0
DHX9	MRPL45	0
CNOT1	HMG20B	0
TOP3A	ATP5F1B	0
USP12	MPP7	0
BAG3	ARHGEF1	0
THOC7	MRPL21	0
AP2M1	PRPF40A	0
RFC5	POLE	0
NELFB	VAMP2	0
IRF2BP1	STUB1	0
POLD1	YEATS2	0
AP5B1	MKS1	0
SF3B1	MRPL47	0
SAP30	CXXC1	0
LAMTOR3	CDC27	0
TFDP1	CCT3	0
ERLEC1	NRP1	0
RNPC3	CENPU	0
CNOT11	SMARCA5	0
ITGA2	CDH1	0
NDUFAF1	COG1	0
RPL13	INTS12	0
MRPL13	CENPN	0
SH3KBP1	MRPL4	0
PRPF40A	MRPL2	0
RPP40	TAF1C	0
ERCC3	SRRM2	0
RO60	SF3A1	0
MED8	SERPINA3	0
TCP1	PRAME	0
C1QBP	RPS18	0
CCP110	ERCC6	0
WBP11	LENG8	0
RPL5	HIRA	0
HAUS5	INTS6	0
RPL37A	IMP4	0
KPTN	KLC1	0
EHMT2	SAP30	0
SPAG9	AGPAT2	0
DYNC2H1	FGFR1	0
SKIV2L	TCP1	0
SIKE1	GLE1	0
LAS1L	RBM15	0
RELA	SUPT6H	0
EHMT2	GPX1	0
SF3A3	TADA2A	0
CDK3	ITGB5	0
RPS15A	MRPL48	0
TERF2	PTCD3	0
GEMIN5	MRPL49	0
MBD3	RNF2	0
BOP1	RPL18A	0
ATL3	ATP5PB	0
DGKZ	PRIM2	0
MRPL27	HOOK1	0
TLE4	STUB1	0
DYNC2I2	CCT5	0
DNM1L	IK	0
CCT7	SKIV2L	0
RPL17	MRPL53	0
RPL19	NOP10	0
GRWD1	POP1	0
SET	SAE1	0
PKD2	ITPR3	0
RFC1	CABIN1	0
VPS50	CENPK	0
CCNT1	CAB39	0
HSPB8	PMS1	0
CHUK	ACTR8	0
FBL	MRPL23	0
CDH23	TGFB1	0
BCAS2	MED4	0
SMARCA1	BRMS1	0
CCT3	ASH2L	0
APOA1	TJP1	0
PIK3C2A	TAF10	0
IKBKG	DSCC1	0
NCSTN	IGF1R	0
MED17	INTS6	0
RPL32	RPP30	0
VCP	CHTF18	0
DHX9	AP3M1	0
SENP3	HMG20A	0
FTL	MRPL27	0
INO80B	BRCA1	0
WDR48	SKP1	0
CPSF7	RPS19	0
RPS19	MCM4	0
HAUS3	BLOC1S2	0
PAXBP1	TOP2A	0
PACS1	NDUFA3	0
HNRNPC	MRPL52	0
NCOA6	PPP1R12A	0
CAND1	QARS1	0
NDC80	BECN1	0
WDR26	NDUFA9	0
UPF1	TEX10	0
MCU	INTS12	0
NUB1	PRPF19	0
FASTKD2	PRPF4B	0
RPL35	WDR26	0
BOP1	ORC1	0
ATP5F1D	RTN4	0
MPHOSPH10	NOP10	0
UBAC1	RPLP0	0
MORF4L1	POLR1G	0
NFRKB	PARD3	0
MGAT4B	ATP5PD	0
TERF2	U2SURP	0
MRPL11	RALY	0
ARHGEF2	CHTF18	0
RPP40	IMP4	0
SF3B1	LSM5	0
VANGL1	DCAF1	0
VANGL1	RPS8	0
LENG8	NBN	0
E2F4	MBD3	0
BOP1	CHD8	0
POLD1	ORC2	0
GEMIN4	PIGS	0
RPL31	MPHOSPH10	0
N4BP2	DSCC1	0
POLR1E	SMARCC1	0
PRPF40A	MRPL41	0
ATR	DNM1L	0
TOP3A	MRPL4	0
ECSIT	NDUFB3	0
CTBP2	HSPA8	0
RNF2	MBIP	0
GOLGA2	DDR1	0
PPM1G	MCM6	0
CENPL	TRRAP	0
MED29	POLR1G	0
CENPH	AP3M1	0
TSC2	TBL1XR1	0
INCENP	SUPT6H	0
BUD13	EZH2	0
AMFR	TTC8	0
SMARCA2	CPSF6	0
VANGL2	POP4	0
VAMP3	CCNB2	0
SYNCRIP	CENPQ	0
SRSF3	CENPT	0
GPAA1	EXOC5	0
DOCK7	STAT1	0
HSPA5	WDR12	0
PACS1	TCP1	0
RPS3	TTC37	0
FAM8A1	TUBGCP2	0
PRPF6	XRN1	0
MKS1	DDX20	0
POLD1	TRAPPC5	0
HERC1	MKS1	0
BAG3	FGFR4	0
PAXBP1	CENPC	0
KAT14	USF2	0
ERCC4	TUBGCP3	0
NCAPD3	BRCA2	0
MCM8	MCM4	0
KPNB1	MPP7	0
RPP25	MRPL16	0
HDAC3	RFXANK	0
VPS11	POLE	0
GRSF1	RPS19	0
UBR5	SF3B3	0
CDK12	TAF4	0
DYNC2LI1	STAG1	0
RPS4Y1	SMC4	0
MCC	XRCC4	0
GPAA1	GCN1	0
PRPF4B	RNF2	0
GPAA1	CD47	0
TRAPPC2	LSM4	0
INTS1	TUBGCP3	0
RPP25	RPS15	0
HOOK1	SKIV2L	0
KMT2B	YEATS2	0
RCOR1	BRMS1L	0
XPO1	SYVN1	0
MT-ND4	INTS1	0
IMP3	RPP38	0
GEMIN5	SMARCA1	0
RPL30	SART1	0
POLR2H	POLA1	0
AUP1	GEMIN6	0
GEMIN4	SETDB1	0
POLR1E	MRPL10	0
SNX6	SAV1	0
INSR	FKBP5	0
PARN	MRPL47	0
MRPL42	NDUFA2	0
GEMIN5	GIT1	0
SF3B4	SNUPN	0
EXOC6	MT-CO1	0
DKC1	BAZ2A	0
MTA3	GSK3B	0
RPN2	SYVN1	0
AUP1	ATP5F1B	0
ATP5F1C	MT-ND5	0
RAPGEF1	BTRC	0
RIPK1	WDHD1	0
DROSHA	RPS10	0
SF3B1	CENPQ	0
KSR1	IRF2BP1	0
EZH2	DDX46	0
MRPL30	RPS9	0
TRAF2	VIPAS39	0
FGG	HPR	0
SPEN	NEK2	0
TUBGCP3	ERAP1	0
BAP18	SAP130	0
RPL15	MRPL16	0
VANGL1	CTNNBL1	0
IRF2BP1	TAB2	0
THOC2	CCT6A	0
SAP30	SUZ12	0
RPLP2	SRSF11	0
ANAPC7	TTC37	0
FAS	ITGA6	0
DNM2	FNTB	0
RPL10	YBX3	0
SIRT1	CTNNBL1	0
DROSHA	FARP2	0
CASK	PALS2	0
SIGMAR1	COG5	0
RPP25	DDX46	0
HAX1	AP5B1	0
SPEN	PPP1R12A	0
RPS13	HNRNPR	0
WDHD1	PIK3C2A	0
ANAPC7	STUB1	0
USP12	ULK1	0
VIRMA	WEE1	0
RPS27	TOMM40	0
CNOT10	HAUS7	0
MGAT5	FASTKD5	0
HAUS7	STAG1	0
LATS1	CBL	0
CNOT3	MNAT1	0
NCAPD3	INTS12	0
GLE1	IQGAP1	0
RIN1	RFX5	0
BAG5	CUL4B	0
TIMM17A	MCU	0
ARHGEF7	CENPO	0
MTA3	TAF7	0
FN1	DNM2	0
SRSF7	RPS19	0
NDUFC2	ZFYVE27	0
IPO4	AGPAT2	0
FASTKD2	PAXBP1	0
MRPL39	RPL7A	0
CDYL	PLXNA1	0
AP3B1	GTF2F1	0
HIRA	DHX30	0
DGCR8	SRSF3	0
PRPF31	TRAPPC2	0
SIRT1	STAU1	0
DYNC1LI1	DYNLT2B	0
TUBA1A	MGAT2	0
RBM17	RPL15	0
ILK	IQGAP1	0
CCND1	CCND2	0
BOP1	FBL	0
POLR1E	BLOC1S3	0
PRIM1	POLR1B	0
ECSIT	CDYL	0
GPAA1	FASTKD2	0
RREB1	SF3A1	0
TRAPPC2	MRE11	0
INVS	URI1	0
IPO4	RPS18	0
PRKDC	XPO1	0
SUDS3	NCOR2	0
BBS1	TOPBP1	0
GTF2H2	ARHGEF2	0
TBL1XR1	DSCC1	0
CNOT6L	MEAF6	0
MDM2	MTIF2	0
FASTKD2	MRPL35	0
CAMK2A	XRN1	0
LATS1	HAUS2	0
ATF7IP	ANAPC7	0
RPP40	CBX8	0
MRPL9	PES1	0
MRPL43	CSE1L	0
RPS18	MCM2	0
ZNF516	RBL1	0
PML	ESS2	0
PAK1	ABI1	0
CHEK1	FBXW8	0
TADA3	DSCC1	0
CRNKL1	MPHOSPH10	0
MPRIP	WBP11	0
PIGT	TNIP1	0
RPL3	NHP2	0
RIN1	HAUS6	0
MRPL27	RPS10	0
RPL3	SSRP1	0
TAF1B	MED22	0
CYLD	ULK1	0
ERCC3	HNRNPM	0
SKP2	INTS3	0
SNAPIN	TRAF3IP1	0
ATP5MC1	INTS2	0
LIN9	RAD21	0
HAUS5	NPHP4	0
FASTKD2	DCAF1	0
SNAPIN	VPS35	0
CENPH	INTS4	0
TRIM27	NPHP3	0
BRMS1L	SUZ12	0
GTF2F2	CDC20	0
SNRNP35	EPB41L3	0
KLC1	CEBPB	0
CTNNBL1	MED4	0
BAG5	TAF9	0
IRF2BP2	HIRA	0
VAMP2	PPME1	0
MOV10	GAR1	0
ALYREF	VIM	0
MT-ND1	COA1	0
