Gene1	Gene2	Weight
CBX4	CTBP2	1
SNRPB	PRPF8	1
MED13L	MED27	1
POLD3	POLD1	1
RPP40	POP1	1
EIF3E	EIF3L	1
RPL21	RPL12	1
RPS2	RPL13	1
VANGL1	SCRIB	1
MED13	MED25	1
LSM4	USP39	1
CHAF1A	IPO4	1
CDK8	MED13	1
AP5S1	AP5M1	1
POLR2L	POLR1B	1
WASHC2A	FKBP15	1
NDUFB4	NDUFB7	1
DR1	YEATS2	1
EPRS1	EEF1E1	1
HNRNPU	YBX1	1
HAT1	RBBP4	1
RBBP5	SETD1B	1
GEMIN4	SYVN1	1
PAXIP1	MRE11	1
RPL21	RPL13	1
RBM22	ESS2	1
PPIL1	ISY1	1
INPP5E	RPGR	1
DDX11	WDHD1	1
RPS6	STAU1	1
MRPL23	MRPL46	1
SRSF1	SNRPD1	1
RPL18	RPL13	1
COX6C	MT-CO3	1
CPSF3	U2AF2	1
IKBKG	POLR1G	1
MRPL52	MRPL44	1
SMURF2	SMAD3	1
ATP5PF	ATP5F1C	1
MRPL30	MRPL1	1
PHF20	MCRS1	1
RPL13	RPL32	1
INTS5	INTS1	1
RCOR1	CDYL	1
RBBP5	KMT2B	1
SF3A2	USP39	1
POLR2J	POLR2G	1
INO80B	MCRS1	1
RPL37A	RPL15	1
KPNB1	KPNA2	1
PRAME	CUL2	1
MTOR	RICTOR	1
MED20	MED16	1
CTBP1	LCOR	1
ERCC3	MRE11	1
CRNKL1	DDX23	1
SMARCA2	SMARCA5	1
MED18	MED7	1
RAD51	BRCA2	1
MED26	MED31	1
MED13L	MED15	1
MED29	OPA1	1
MED18	MED10	1
RPS17	RPL18	1
POLR2F	POLR2C	1
NDUFA2	NDUFA6	1
HSP90AA1	IKBKB	1
RPL36	RPL27	1
POP5	POP1	1
LSM3	SF3A1	1
RPL21	RPL10A	1
BLOC1S4	AP3B2	1
MED16	MED31	1
EFTUD2	SNW1	1
CTNNB1	APC	1
NDUFB3	MT-ND5	1
MAP3K14	IKBKG	1
RPL19	RPL28	1
TXNL4A	SNRPE	1
INO80D	ACTR8	1
RPL34	RPS13	1
