Complexes(Gene Name)	drug-target-Gene	Percentage(|drug-target-Gene| / |complex|)	
IMPDH1;IMPDH2	1	0.5	
SIL1;AGA	1	0.5	
PRDM11;NEK9	1	0.5	
SPRTN;BRD4	1	0.5	
NDUFA11;NDUFB1;NDUFB10;NDUFA7;NDUFA6;NDUFA1;NDUFA5;NDUFA2;NDUFV1;MT-ND2;NDUFB7;NDUFV2;NDUFB6;NDUFB11;NDUFB4;NDUFB9;NDUFS4;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFA3;NDUFA10;NDUFS8;NDUFS7	1	0.0384615384615	
PCCB;MCCC1;IARS2;PCCA;NDUFAF1;SARS2;PARS2;PITRM1;GFM1;EARS2;LARS2;ACSF2;TMLHE;ACSF3;TARS2;MMUT;BCKDHA;BCKDK;IVD;ACAD10;MIPEP;RARS2;DGLUCY;D2HGDH;NSUN4;GFM2;OGDHL;DARS2;SARDH;ALDH4A1;AK4;ACAA2;TBRG4;MTHFD1L;PUS1;IDH3G;METTL15;NARS2;TSFM;FECH;PTCD1;MTFMT;ATPAF1;ABHD11;ERAL1;YARS2;PC;GLS;HDHD5;MARS2;NDUFA10;MTG2;MTO1;GUF1;CLPP;AARS2;MRM2;RPUSD3;NDUFAF7;RSAD1;ELAC2;ALAS1	1	0.0161290322581	
RTL10;RIPK1	1	0.5	
RPS6KA4;NEK9	1	0.5	
NGLY1;UMPS	1	0.5	
MRPS12;MRPS17;MRPS6;MRPS14;MRPS22;MRPS34;MRPS2;MRPS28;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL2;MRPL4;MRPL47;MRPL3;MRPL55;MRPL9;MRPL11;MRPL35;MRPL39;MRPS30;MRPL37;MRPL57;MRPL41;MRPL43;MRPL52;MRPL28;MRPL46;MRPS23;MRPL58;MRPL40	3	0.06	
MRPS17;MRPS6;MRPS34;MRPS2;MRPS28;MRPS22;MRPS14;MRPS10;MRPS12;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPS5;MRPL42;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL35;MRPL43;MRPL32;MRPL41;MRPL51;MRPS30;MRPL27;MRPL45;MRPL52;MRPL57;MRPL28;MRPL10;MRPL46;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44;GTPBP8	3	0.0434782608696	
MRPS21;MRPS11;MRPS6;MRPS17;MRPS34;MRPS22;MRPS14;MRPS28;MRPS2;MRPS12;MRPS10;MRPS18C;MRPS18A;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL54;MRPL35;MRPL43;MRPL32;MRPL41;MRPL14;MRPL51;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL58;MRPL19;MRPS23;MRPL40	3	0.0441176470588	
ALAS1;ALDH6A1;DARS2;PUS1;TSFM;NARS2;EARS2;MMUT;LARS2;GFM2;ACSF2;MIPEP;ACSF3;TMLHE;AK4;D2HGDH;BCKDHA;RARS2;BCKDK;TBRG4;TARS2;ALDH4A1;DGLUCY;IVD;IDH3G;ACAD10;PCCB;METTL15;PCCA;NSUN4;PTCD1;SARDH;TRIT1;TRUB2;MTHFD1L;FARS2;PC;FAHD1;ATPAF1;YARS2;FECH;NDUFA10;ERAL1;MRM2;FPGS;RPUSD3;MARS2;MTG2;MRPL58;GUF1;NDUFAF1;ABHD11;GLS;DBT;HARS2;HDHD5;MTO1;AARS2	1	0.0172413793103	
NDUFS4;NDUFB9;NDUFB5;NDUFS6;NDUFB3;NDUFB8	1	0.166666666667	
ABHD11;ATPAF1;MTFMT;HDHD5;PARS2;AARS2;MTO1;RSAD1;LARS2;ACSF2;EARS2;MIPEP;MMUT;GFM1;RARS2;IARS2;TMLHE;AK4;ACAA2;PCCB;GFM2;IVD;BCKDHA;OGDHL;ACSF3;BCKDK;D2HGDH;PCCA;IDH3G;ACAD10;NSUN4;TBRG4;DARS2;SARDH;TSFM;PTCD1;PUS1;MTHFD1L;NARS2;PC;YARS2;MARS2;TARS2;FECH;DGLUCY;TRIT1;ALDH4A1;ALDH6A1;ERAL1;METTL15;MRM2;NDUFA10;MTG2;TRUB2;FARS2;GUF1;GLS;ALAS1;NDUFAF1;MCCC1;RPUSD3;FPGS;MRPL58;FAHD1;CLPP;NDUFAF7;DBT;HARS2	1	0.0147058823529	
MARK3;MARK1	2	1.0	
MTHFD1L;PDPR;SARDH;PITRM1;SARS2;PARS2;GFM1;NDUFS8;TMLHE;LARS2;ACSF2;BCKDHA;ACAD10;ACSF3;TARS2;IARS2;PCCB;BCKDK;PCCA;DARS2;NSUN4;GFM2;EARS2;MMUT;IVD;D2HGDH;PUS1;RARS2;MIPEP;DGLUCY;OGDHL;AK4;ACAA2;TBRG4;ALDH4A1;NARS2;IDH3G;METTL15;FECH;TSFM;MCCC1;PTCD1;MTFMT;NDUFA10;GLS;MARS2;PC;ATPAF1;HDHD5;TRIT1;ABHD11;MTO1;AARS2;ALDH6A1;YARS2;ERAL1;MTG2;NDUFAF1;GUF1;TRUB2;RPUSD3;ALAS1;FARS2;MRM2;RSAD1;NDUFAF7;DBT;MRPL58;FAHD1;FPGS;HARS2;PRORP;ELAC2	1	0.013698630137	
COMT;SELENOK	1	0.5	
MRPS16;MRPS6;MRPS17;MRPS34;MRPS22;MRPS14;MRPS28;MRPS2;MRPS12;MRPS10;MRPS21;MRPS18C;MRPS11;MRPS18A;MRPS7;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPS5;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL49;MRPL13;MRPL39;MRPL18;MRPL35;MRPL37;MRPL54;MRPL43;MRPL32;MRPL41;MRPL51;MRPL14;MRPL27;MRPS30;MRPL45;MRPL52;MRPL28;MRPL57;MRPL46;MRPL58;MRPL19;MRPS23;MRPL40	3	0.0454545454545	
SIGMAR1;NSDHL	1	0.5	
ERO1B;ERO1A	1	0.5	
ZER1;ZYG11B	1	0.5	
MAP2K7;NEK9;UCKL1;CAMK1	1	0.25	
