Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
PAIP2B;PAIP2;PABPC4;PABPC1L;PABPC1;PAIP1	2	0.333333333333
PRAME;CUL2	1	0.5
PSMC3;PSMD14;PSMD6;PSMD13;PSMD7;PSMD12;PSMD3;PSMD8;PSMD11;PSMB1;PSMB7;PSMA5;PSMA2;PSMD2;PSMC1;PSMB2;PSMB3;PSMB4;PSMB6;PSMB5;PSMB9;PSMB10;PSMA3;PSMC5;PSMA4;PSMA6;PSME1;PSMA7;PSMA1;PSMA8;PSMC4;PSMC2	1	0.03125
TMEM245;TMEM223;RETREG2;TMEM68;TMEM161B;TMEM161A;TMEM164;RFT1;ATP13A3;TMEM186;SLC35F1;TLCD4;SLC35F2;LPCAT4;ERMP1;SLC35F5;LPCAT3;PCNX3;LMBRD2;SC5D;GPAT4;CERS2;CERS6;REEP5;DPY19L1;RETREG3;TM9SF3;ALG11;SOAT1;PIGO;SLC5A3;DPY19L4;PTDSS2;MBOAT7	7	0.205882352941
NEUROD1;TCF3;TCF12	1	0.333333333333
SBNO1;PUS7	1	0.5
MIER3;MIER2;HDAC2;HDAC1;MIER1	1	0.2
B4GALNT4;B4GALNT3;CHSY3;B4GALT6;NDST2;NDST1;GALNT16;PXYLP1;GLCE;GALNT6;CHPF2;FUT11;MANEAL;B4GALT3;B4GALT7;GALNT12;TPST2;CHST10;LARGE2;GALNT7;CHSY1;MGAT1;GLT8D2;ST3GAL4;TPST1;B3GNT2;ST6GALNAC4	1	0.037037037037
ZNF22;ZNF771;CTCF;GZF1;ZBTB24;PATZ1;ZNF800;ZBTB41;PRDM15;ZNF768;ZNF512;ZNF629;ZFP62;ZBTB11;ZNF48;ZNF317;ZNF107;ZNF445;PRDM10;ZNF483;ZKSCAN8;ZSCAN25;ZNF184;ZNF668;ZNF624;ZNF770;ZNF616;ZNF689;ZNF121;ZNF791;ZNF777;ZNF92;ZNF813;ZNF708;ZNF845;ZNF724;ZNF142;RSBN1L;ZNF574;ZNF273;RSBN1;SCAF1;ZNF320;TRMT1L;LARP1B;LENG8;CEBPZ;DDX10	1	0.0208333333333
PLXNB1;IL17RA	1	0.5
