UniProt1	UniProt2	Weight
P18859	P36542	1
Q8TCC3	Q9BYD6	1
Q9BVI0	Q96EZ8	1
P26373	P62910	1
Q6P9B9	Q8N201	1
Q9UKL0	Q9Y232	1
Q15291	Q9UMN6	1
Q15428	Q53GS9	1
P52435	P62487	1
Q9C086	Q96EZ8	1
P61513	P61313	1
Q14974	P52292	1
P78395	Q13617	1
P42345	Q6R327	1
Q9H944	Q9Y2X0	1
Q13363	Q96JN0	1
P19447	P49959	1
Q9BZJ0	Q9BUQ8	1
P51531	O60264	1
Q9BUE0	O43513	1
Q06609	P51587	1
O95402	Q9Y3C7	1
Q71F56	Q96RN5	1
Q9NX70	O60313	1
Q9BUE0	Q9BTT4	1
P08708	Q07020	1
P61218	P19387	1
O43678	P56556	1
P07900	O14920	1
Q9Y3U8	P61353	1
Q969H6	Q99575	1
P62310	Q15459	1
P46778	P62906	1
Q9NUP1	Q13367	1
Q9Y2X0	Q9Y3C7	1
Q15029	Q13573	1
P35222	P25054	1
O43676	P03915	1
Q99558	Q9Y6K9	1
P84098	P46779	1
P83876	P62304	1
Q53TQ3	Q9H981	1
P49207	P62277	1
Q8NEB9	Q14457	1
P61158	P59998	1
Q7Z7H8	Q96GC5	1
Q96LT9	P62316	1
P49207	P61313	1
Q12905	Q99459	1
Q9Y265	P63208	1
Q8TEX9	Q09028	1
Q8IZL8	Q9Y4W2	1
P46779	Q9UHA3	1
Q9UHV9	O94763	1
P08708	P32969	1
P62306	O43172	1
P14678	Q8TBF4	1
Q969H0	Q00653	1
P24928	P52434	1
P41743	Q8TEW0	1
O60508	Q9BRD0	1
Q9NVP2	Q13111	1
P47756	Q12768	1
Q9H160	Q13547	1
Q5TKA1	P10244	1
O95400	Q96I25	1
Q8N201	Q68E01	1
Q9H633	Q99575	1
Q96KQ7	Q9P2K3	1
Q9ULK4	O60313	1
P24928	P51531	1
P56545	Q9H9B1	1
P53805	Q08209	1
Q00839	P62753	1
Q9ULM3	Q8IYH5	1
O43676	O95298	1
Q9Y4A5	Q9ULK4	1
O43181	P56556	1
Q9UKB1	Q04864	1
Q9H9A5	Q92600	1
Q7Z7H8	Q7Z7F7	1
Q9NX14	O43678	1
Q9Y2R0	Q96I36	1
Q9GZS1	Q9H9Y6	1
Q9NR30	Q9BQG0	1
Q6P2Q9	Q15696	1
Q9GZS1	O15446	1
P36578	P62888	1
P62487	P19387	1
Q09161	Q15393	1
Q15751	P49815	1
P19838	O14920	1
Q12904	P56192	1
Q9UBU6	Q9Y679	1
Q6P2Q9	Q96LT9	1
Q92766	Q96EK2	1
Q70YC5	Q9NRI5	1
Q04206	O14920	1
P78346	Q9BUL9	1
Q9NX14	O95168	1
P49368	P17987	1
P54136	P56192	1
O43181	P03886	1
Q96EP0	Q9BYM8	1
Q9H8T0	Q9P253	1
P0DI81	Q96Q05	1
Q16594	Q9NXF1	1
P26373	P62888	1
Q9H4L4	Q8IZL8	1
Q14839	O60341	1
Q9BYD3	Q9BYC9	1
O75362	O60315	1
Q9Y265	Q92993	1
P18859	P25705	1
O14920	Q16543	1
P26373	P46779	1
Q9UIV1	Q96LI5	1
Q9ULM3	Q92830	1
Q9H3R5	Q6IPU0	1
Q6P2C8	Q9Y3C7	1
P20226	Q92797	1
P09874	P35244	1
Q92797	Q05048	1
Q13573	P43243	1
P23508	O15446	1
P62875	O15446	1
