Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
Q9BYC8;Q6P1L8;Q96EL3;Q9BQ48;Q8N983;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	3	0.0434782608696
P82930;P82932;Q9Y2R5;O60783;P82650;O15235;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0428571428571
Q99627;Q13617;Q13616;Q13618;Q13098;P63208;Q13309	1	0.142857142857
Q3KQU3;O94887	1	0.5
O75352;A0PJW6;Q8NDZ6;Q96MH6;Q96AA3;Q9NX61;Q2PZI1;Q96B77;Q9H7F0;Q7Z2K6;Q8TEQ8;Q9BVG9;Q9H6A9;Q643R3;P35610;Q6P1A2;Q96G23;Q86UL3;Q6ZMG9;Q9HD45;Q9HD20;Q2TAA5;Q96N66	5	0.217391304348
P63211;P62873	1	0.5
Q9NXA8;Q05932;Q5T1C6	1	0.333333333333
Q9H2W6;Q8N5N7;Q96EL3;Q6P1L8;O75394;Q6P161;Q9BQ48;Q13405;Q7Z2W9;Q8N983;Q9H0U6;Q9NYK5;Q9BZE1;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q96DV4;Q96GC5;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q13084;Q9NZE8;Q9NRX2;Q9P0M9;Q8IXM3;Q4U2R6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;P82933;Q9H9J2	3	0.0434782608696
P56381;P30049;O75947;O75964;P48047;P36542	1	0.166666666667
O95870;Q8NE00;Q9NRC1;Q9BU23;Q9GZU3;A0PJW6;Q2PZI1;Q6ZT21;Q68DH5;Q96B77;Q7Z2K6;Q8TEQ8;Q96MV1;Q6P1A2;Q9H6U8	4	0.266666666667
