Complexes(UniProt IDs)	drug-target-protein	Percentage(|drug-target-protein| / |complex|)	
O75676;Q8TD19	1	0.5	
Q96IV0;P11172	1	0.5	
O15235;Q9Y2R5;P82932;O60783;P82650;P82930;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q5T653;Q9BYD3;Q9HD33;P09001;Q7Z7F7;Q9BYD2;Q9Y3B7;Q9NZE8;Q9NYK5;Q9NP92;Q9BZE1;Q9BQC6;Q8IXM3;Q8N983;Q86TS9;Q13084;Q9H2W6;Q9Y3D9;Q14197;Q9NQ50	3	0.06	
Q9Y2R5;P82932;P82930;Q9Y399;Q9Y2Q9;P82650;O60783;P82664;O15235;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q9BQC6;Q13084;Q7Z7H8;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0434782608696	
P82921;P82912;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;Q9Y3D5;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0441176470588	
P13196;Q02252;Q6PI48;Q9Y606;P43897;Q96I59;Q5JPH6;P22033;Q15031;Q969S9;Q96CM8;Q99797;Q4G176;Q9NVH6;P27144;Q8N465;P12694;Q5T160;O14874;Q969Z0;Q9BW92;P30038;Q7Z3D6;P26440;P51553;Q6JQN1;P05166;A6NJ78;P05165;Q96CB9;O75127;Q9UL12;Q9H3H1;O95900;Q6UB35;O95363;P11498;Q6P587;Q5TC12;Q9Y2Z4;P22830;O95299;O75616;Q9UI43;Q05932;Q6P087;Q96GW9;Q9H4K7;Q14197;Q8N442;Q9Y375;Q8NFV4;O94925;P11182;P49590;Q9BXW7;Q9Y2Z2;Q5JTZ9	1	0.0172413793103	
O43181;Q9Y6M9;O43674;O75380;O43676;O95169	1	0.166666666667	
Q8NFV4;Q5TC12;Q96DP5;Q9BXW7;Q7L3T8;Q5JTZ9;Q9Y2Z2;Q9HA92;Q15031;Q96CM8;Q5JPH6;Q99797;P22033;Q96RP9;Q5T160;Q9NSE4;Q9NVH6;P27144;P42765;P05166;Q969S9;P26440;P12694;Q9ULD0;Q4G176;O14874;Q8N465;P05165;P51553;Q6JQN1;Q96CB9;Q969Z0;Q6PI48;Q9UL12;P43897;O75127;Q9Y606;Q6UB35;Q96I59;P11498;Q9Y2Z4;Q96GW9;Q9BW92;P22830;Q7Z3D6;Q9H3H1;P30038;Q02252;O75616;A6NJ78;Q9UI43;O95299;Q9H4K7;O95900;O95363;Q8N442;O94925;P13196;Q9Y375;Q96RQ3;Q6P087;Q05932;Q14197;Q6P587;Q16740;Q7L592;P11182;P49590	1	0.0147058823529	
P27448;Q9P0L2	2	1.0	
Q6UB35;Q8NCN5;Q9UL12;Q5JRX3;Q9NP81;Q7L3T8;Q96RP9;O00217;Q9NVH6;Q15031;Q96CM8;P12694;Q6JQN1;Q4G176;Q9BW92;Q9NSE4;P05166;O14874;P05165;Q6PI48;Q96CB9;Q969S9;Q5JPH6;P22033;P26440;Q8N465;Q9Y606;Q5T160;Q99797;Q7Z3D6;Q9ULD0;P27144;P42765;Q969Z0;P30038;Q96I59;P51553;A6NJ78;P22830;P43897;Q96RQ3;O75127;Q96DP5;O95299;O94925;Q96GW9;P11498;Q5TC12;Q9BXW7;Q9H3H1;Q8NFV4;Q9Y2Z2;Q5JTZ9;Q02252;Q9Y2Z4;O75616;Q9H4K7;Q9Y375;Q8N442;O95900;Q6P087;P13196;O95363;Q9UI43;Q9HA92;Q7L592;P11182;Q14197;Q6P587;Q05932;P49590;O15091;Q9BQ52	1	0.013698630137	
P21964;F6XHT0	1	0.5	
Q9Y3D3;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0454545454545	
Q99720;Q15738	1	0.5	
Q86YB8;Q96HE7	1	0.5	
Q7Z7L7;Q9C0D3	1	0.5	
O14733;Q8TD19;Q9NWZ5;Q14012	1	0.25	
Q9NSE4;P05166;P05165;P11498;O94925;Q96I59;Q9Y375;O75616;Q9Y2Z4;Q15031;Q5JPH6;Q96RP9;Q99797;Q96CM8;P22033;Q7L3T8;Q9NVH6;Q969S9;Q4G176;Q5T160;Q6JQN1;P12694;Q8N465;P42765;P27144;Q9BW92;P26440;Q9UL12;Q7Z3D6;P30038;Q6PI48;Q969Z0;O14874;P51553;Q9ULD0;Q96CB9;A6NJ78;O75127;P43897;Q9Y606;Q96DP5;Q6UB35;Q5TC12;P22830;Q96RQ3;O95900;Q96GW9;Q8NFV4;Q6P087;Q9H4K7;O95299;Q9UI43;Q8N442;Q16740;Q9BXW7;Q5JTZ9;Q7L592;Q5JRX3;Q9Y2Z2	1	0.0169491525424	
Q9HCN8;Q99470	1	0.5	
Q92990;P62877	1	0.5	
