Complexes(UniProt IDs)	Min-p-value	Avg-p-value	Number-of-resources
Q15019;Q8IYM1;Q16181;O43236;Q14141;Q9NVA2;Q8WYJ6;Q9UHD8;Q92599;Q9UH03;Q99719	9.61313277552e-33	0.006171153496408619	51
Q9UHD8;Q15019;Q8WYJ6;Q16181;Q14141;O43236;Q9NVA2;Q92599;Q9UH03;Q6ZU15;Q99719	9.61313277552e-33	0.008702654700488458	46
Q9HD33;O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9BZE1;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	8.13080137187e-172	0.0017482043723043026	291
Q96RD2;Q8NGR4	0.000864811338578	0.0150100259434095	4
P82675;P82932;P82930;P82650;Q9Y2R5;O60783;Q9Y399;Q9Y2Q9;O15235;P82664;P82921;Q9Y3D5;Q9NVS2;P82912;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2	1.0311416835e-174	0.0015779721005014452	288
Q8N983;Q96GC5;Q96EL3;Q9BQ48;Q6P1L8;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y2Q9;P82933;Q9H9J2	1.17658682887e-168	0.0017062774100991144	288
Q9H2W6;Q8N5N7;Q96EL3;Q6P1L8;O75394;Q6P161;Q9BQ48;Q13405;Q7Z2W9;Q8N983;Q9H0U6;Q9NYK5;Q9BZE1;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q96DV4;Q96GC5;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q13084;Q9NZE8;Q9NRX2;Q9P0M9;Q8IXM3;Q4U2R6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;P82933;Q9H9J2	1.17658682887e-168	0.0015427916283401613	285
P82930;Q9Y3D5;P82664;Q9Y399;Q9Y2R5;P82932;Q9Y2Q9;P82650;P82921;P82912;O60783;Q9Y2R9;Q9NVS2;P82673;Q96EL2;O15235;Q9Y3D3;Q9Y291;P82933;P82675;Q9Y6G3;Q9NRX2;Q9BYC9;Q9NX20;Q96A35;Q9BYD6;Q9P015;Q96GC5;Q16540;P82663;Q8TCC3;Q5T653;Q96DV4;Q7Z2W9;Q9BQ48;Q9BYD3;Q9NWU5;Q9HD33;P09001;Q9Y3B7;Q9BYD2;Q7Z7F7;O75394;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q6P161;Q8N983;Q9BZE1;Q9NZE8;Q6P1L8;Q8IXM3;Q9BYC8;Q9P0M9;Q4U2R6;Q9NP92;Q86TS9;Q7Z7H8;Q9BRJ2;Q9BQC6;Q9H2W6;Q13084;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	2.39225824932e-173	0.0016501825301882523	290
Q9BYC8;Q6P1L8;Q96EL3;Q9BQ48;Q8N983;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	1.17658682887e-168	0.0012807357693901812	283
P48060;Q9UBR5	Null	Null	0
