Fitness-score	Complexes(UniProt IDs)
0.897172979402	Q96B49;Q9P0U1;Q8N4H5;Q969M1
0.89657981508	Q92599;Q15019;Q8IYM1;Q16181;O43236;Q14141;Q9NVA2;Q8WYJ6;Q9UHD8;Q9UH03;Q99719;Q6ZU15
0.895084047042	Q8NE35;Q7Z5Q1
0.894064659585	P41091;P05198
0.889736253865	O00712;Q12857;Q14938
0.889099704906	P51843;Q13285
0.88385145288	P59998;O15145;O15143;O15144;O15511;P61158;Q9BPX5;P61160
0.883458705227	P01568;P01571;P05013;P01570;P01562;P05014
0.882634373547	P00338;P07195;Q6ZMR3
0.882439740342	Q06520;O43704
0.880086344218	P10632;P11712;P33260
0.879392491225	P31512;Q01740
0.878831107725	Q15019;Q8IYM1;Q16181;O43236;Q14141;Q9NVA2;Q8WYJ6;Q9UHD8;Q92599;Q9UH03;Q99719
0.875201679408	Q9UHD8;Q15019;Q8WYJ6;Q16181;Q14141;O43236;Q9NVA2;Q92599;Q9UH03;Q6ZU15;Q99719
0.874768312811	Q9HD33;O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9BZE1;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2
0.87411866525	Q96RD2;Q8NGR4
0.873859427615	P82675;P82932;P82930;P82650;Q9Y2R5;O60783;Q9Y399;Q9Y2Q9;O15235;P82664;P82921;Q9Y3D5;Q9NVS2;P82912;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2
0.873143587863	Q8N983;Q96GC5;Q96EL3;Q9BQ48;Q6P1L8;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y2Q9;P82933;Q9H9J2
0.873050622115	Q9H2W6;Q8N5N7;Q96EL3;Q6P1L8;O75394;Q6P161;Q9BQ48;Q13405;Q7Z2W9;Q8N983;Q9H0U6;Q9NYK5;Q9BZE1;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q96DV4;Q96GC5;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q13084;Q9NZE8;Q9NRX2;Q9P0M9;Q8IXM3;Q4U2R6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;P82933;Q9H9J2
0.872777970123	P82930;Q9Y3D5;P82664;Q9Y399;Q9Y2R5;P82932;Q9Y2Q9;P82650;P82921;P82912;O60783;Q9Y2R9;Q9NVS2;P82673;Q96EL2;O15235;Q9Y3D3;Q9Y291;P82933;P82675;Q9Y6G3;Q9NRX2;Q9BYC9;Q9NX20;Q96A35;Q9BYD6;Q9P015;Q96GC5;Q16540;P82663;Q8TCC3;Q5T653;Q96DV4;Q7Z2W9;Q9BQ48;Q9BYD3;Q9NWU5;Q9HD33;P09001;Q9Y3B7;Q9BYD2;Q7Z7F7;O75394;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q6P161;Q8N983;Q9BZE1;Q9NZE8;Q6P1L8;Q8IXM3;Q9BYC8;Q9P0M9;Q4U2R6;Q9NP92;Q86TS9;Q7Z7H8;Q9BRJ2;Q9BQC6;Q9H2W6;Q13084;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3
0.872528877476	Q9BYC8;Q6P1L8;Q96EL3;Q9BQ48;Q8N983;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2
0.87251629624	P48060;Q9UBR5
0.871169181132	Q9Y6B7;Q9UPM8;Q9Y587;O00189
0.871145662137	Q9BQ48;Q96EL3;O75394;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y2Q9;P82933;Q9H9J2
0.869402915839	Q9Y5I3;Q9UN73;Q9Y5I0;Q9Y5H8;Q9Y5H6;Q9Y5I1;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5
0.86890240672	Q7Z7H8;O75394;Q96EL3;Q6P161;Q6P1L8;Q8N5N7;Q9BQ48;Q13405;Q7Z2W9;Q9BZE1;Q8N983;Q9NYK5;Q9H0U6;Q8TCC3;Q9NWU5;Q16540;P52815;Q9BYD3;Q96GC5;Q96DV4;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q9NZE8;Q13084;Q9NRX2;Q8IXM3;Q9P0M9;Q9H2W6;Q4U2R6;P09001;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9NQ50;P82673;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2
